实际值	预测值
1	0.99833214
1	1.1260102
1	1.1404839
1	0.9728639
1	1.0965701
1	1.0111398
1	0.99785626
1	0.9992292
1	0.9999378
1	0.9962205
1	1.1189312
1	1.161903
1	1.0942928
1	0.9943457
1	0.998813
1	1.0014318
1	1.0196154
1	0.97908473
1	1.1731805
1	1.0052314
1	1.0618775
1	0.99990094
1	1.0256286
1	1.0039275
1	1.0085914
1	1.0145732
1	0.99757123
1	0.9756407
1	0.9935806
1	0.99531966
1	1.108356
1	1.014945
1	1.0045588
1	1.0058839
1	0.9963437
1	1.0757927
1	1.1752434
1	0.9946528
1	1.1177275
1	1.001912
1	1.0009686
1	0.99969065
1	0.9994822
1	0.9946689
1	0.9748363
2	1.2944524
1	1.0000876
1	0.9802387
1	0.9908089
1	1.0211505
1	0.9957019
1	1.0267972
1	1.0005258
1	1.0094694
1	1.0004764
1	1.0007477
1	1.0141346
1	0.9998434
2	1.3908675
1	0.9881566
1	1.0003005
1	0.9980413
1	0.99253005
1	0.99982655
